cdid,consistId,policyStatement,contradictingStatement,contradictionNum
1,1,2,,-1
2,1,2,,-1
3,2,2,8,8
4,2,2,15,0
5,2,8,,-1
6,2,9,8,10
7,2,9,15,2
8,2,15,,-1
9,2,15,,-1
10,2,8,,-1
11,3,2,8,8
12,3,2,15,0
13,3,8,,-1
14,3,9,8,10
15,3,9,15,2
16,3,15,,-1
17,3,15,,-1
18,3,8,,-1
19,5,2,,-1
20,6,2,,-1
21,7,2,,-1
22,8,2,,-1
23,9,2,,-1
24,26,2,,-1
25,26,2,,-1
26,26,2,,-1
27,34,2,,-1
28,35,2,,-1
29,36,9,,-1
30,36,9,,-1
31,36,9,,-1
32,36,2,,-1
33,36,2,,-1
34,36,9,,-1
35,36,9,,-1
36,36,2,,-1
37,36,9,,-1
38,37,9,,-1
39,37,9,,-1
40,37,9,,-1
41,37,2,,-1
42,37,2,,-1
43,37,9,,-1
44,37,9,,-1
45,37,2,,-1
46,37,9,,-1
47,38,9,,-1
48,38,9,,-1
49,38,9,,-1
50,38,2,,-1
51,38,2,,-1
52,38,9,,-1
53,38,9,,-1
54,38,2,,-1
55,38,9,,-1
56,39,9,,-1
57,39,9,,-1
58,39,9,,-1
59,39,2,,-1
60,39,2,,-1
61,39,9,,-1
62,39,9,,-1
63,39,2,,-1
64,39,9,,-1
65,40,9,,-1
66,40,9,,-1
67,40,9,,-1
68,40,2,,-1
69,40,2,,-1
70,40,9,,-1
71,40,9,,-1
72,40,2,,-1
73,40,9,,-1
74,41,9,,-1
75,41,9,,-1
76,41,9,,-1
77,41,2,,-1
78,41,2,,-1
79,41,9,,-1
80,41,9,,-1
81,41,2,,-1
82,41,9,,-1
83,42,9,,-1
84,42,9,,-1
85,42,9,,-1
86,42,2,,-1
87,42,2,,-1
88,42,9,,-1
89,42,9,,-1
90,42,2,,-1
91,42,9,,-1
92,43,2,,-1
93,44,2,,-1
94,46,2,,-1
95,46,26,,-1
96,47,27,,-1
97,47,2,,-1
98,47,26,,-1
99,48,27,,-1
100,48,2,,-1
101,48,26,,-1
102,49,29,,-1
103,49,2,,-1
104,49,29,,-1
105,49,29,,-1
106,49,29,,-1
107,49,29,,-1
108,49,2,,-1
