cid,contrId,packageName,policyStatement,contradictingStatement
1,2,com.agnitus.playfivelittlemonkeysbook,1,3
2,0,com.agnitus.playfivelittlemonkeysbook,4,3
3,0,com.agnitus.playfivelittlemonkeysbook,3,4
4,0,co.touchlab.android.onesecondeveryday,1,11
5,0,co.touchlab.android.onesecondeveryday,11,1
6,8,co.touchlab.android.onesecondeveryday,2,8
7,0,co.touchlab.android.onesecondeveryday,2,15
8,3,co.touchlab.android.onesecondeveryday,12,11
9,3,co.touchlab.android.onesecondeveryday,14,11
10,10,co.touchlab.android.onesecondeveryday,9,8
11,2,co.touchlab.android.onesecondeveryday,9,15
12,0,co.touchlab.android.onesecondeveryday,15,2
13,3,co.touchlab.android.onesecondeveryday,10,11
14,3,co.touchlab.android.onesecondeveryday,13,11
15,0,com.asmodeedigital.spotitduel,1,11
16,0,com.asmodeedigital.spotitduel,11,1
17,0,com.js.ludo,1,11
18,0,com.js.ludo,11,1
19,3,ipnossoft.rma.free,21,11
20,0,ipnossoft.rma.free,1,11
21,1,ipnossoft.rma.free,4,11
22,2,ipnossoft.rma.free,20,11
23,3,ipnossoft.rma.free,22,11
24,1,ipnossoft.rma.free,5,11
25,0,ipnossoft.rma.free,11,1
26,1,ipnossoft.rma.free,6,11
27,0,au.com.espace.quiz.arcade,11,1
28,0,au.com.espace.quiz.arcade,1,11
29,2,com.beyondmenu,2,42
30,2,com.beyondmenu,2,41
31,0,com.beyondmenu,42,43
32,0,com.beyondmenu,43,42
33,1,com.grandsons.dictbox,26,15
34,1,com.grandsons.dictbox,23,15
35,0,com.active.endurance.eugene,2,15
36,0,com.active.endurance.eugene,15,2
37,1,com.active.endurance.eugene,23,15
38,0,au.gov.employment.ajs,1,11
39,0,au.gov.employment.ajs,11,1
40,2,com.bethsoft.falloutshelter,1,56
41,0,com.mtph.clmobile,2,15
42,0,com.mtph.clmobile,15,2
43,0,com.powerful.cleaner,1,11
44,0,com.powerful.cleaner,11,1
45,2,com.powerful.cleaner,20,11
46,3,com.powerful.cleaner,21,11
47,1,com.powerful.cleaner,18,11
48,1,com.powerful.cleaner,49,11
49,3,com.powerful.cleaner,22,11
50,0,com.auctionmobility.auctions.appletree,2,15
51,0,com.auctionmobility.auctions.appletree,15,2
52,1,net.cybrook.trackview,4,11
53,3,net.cybrook.trackview,39,11
54,0,joansoft.dailybible,1,11
55,9,joansoft.dailybible,2,65
56,0,joansoft.dailybible,11,1
57,1,joansoft.dailybible,64,65
58,1,joansoft.dailybible,18,11
59,9,joansoft.dailybible,53,65
60,3,joansoft.dailybible,21,11
61,1,weather.forecast.barometer.storm.radar,18,11
62,2,com.kinpoint.takeaname,1,56
63,1,com.ktcccp.videofacetime,4,11
64,3,com.ktcccp.videofacetime,10,11
65,3,com.ktcccp.videofacetime,13,11
66,1,com.ktcccp.videofacetime,17,11
67,3,com.ktcccp.videofacetime,21,11
68,1,com.ktcccp.videofacetime,18,11
69,2,com.ktcccp.videofacetime,20,11
70,0,com.ktcccp.videofacetime,1,11
71,0,com.ktcccp.videofacetime,11,1
72,0,com.visionobjects.calculator,2,15
73,0,com.visionobjects.calculator,1,11
74,4,com.visionobjects.calculator,74,15
75,0,com.visionobjects.calculator,15,2
76,1,com.visionobjects.calculator,5,11
77,1,com.visionobjects.calculator,4,11
78,0,com.visionobjects.calculator,11,1
79,2,tv.telepathic.hooked,1,3
80,0,tv.telepathic.hooked,4,3
81,2,tv.telepathic.hooked,58,3
82,0,tv.telepathic.hooked,3,4
83,2,tv.telepathic.hooked,20,3
84,0,com.auctionmobility.auctions.helmauction,2,15
85,0,com.auctionmobility.auctions.helmauction,15,2
86,2,com.aspiration.app,1,56
87,2,com.aspiration.app,1,81
88,2,com.aspiration.app,1,3
89,2,com.aspiration.app,1,80
90,2,com.aspiration.app,10,56
91,2,com.aspiration.app,17,81
92,2,com.aspiration.app,17,3
93,3,com.aspiration.app,17,80
94,1,com.skimble.workouts,5,11
95,1,com.skimble.workouts,16,11
96,3,com.skimble.workouts,39,11
97,1,com.skimble.workouts,4,11
98,0,com.skimble.workouts,1,11
99,1,com.skimble.workouts,58,11
100,0,com.skimble.workouts,11,1
101,6,com.udemy.android,95,92
102,6,com.udemy.android,86,92
103,6,com.udemy.android,93,92
104,2,com.udemy.android,2,92
105,0,com.retro.videostatus,11,1
106,0,com.retro.videostatus,1,11
107,1,com.retro.videostatus,24,11
108,3,com.retro.videostatus,21,11
109,7,com.adveractive.game.justjumbledroid,86,97
110,0,com.nazara.tinylabproductions.chhotabheem,2,15
111,0,com.nazara.tinylabproductions.chhotabheem,15,2
112,0,com.monthurs.solitaire.classic.card,15,2
113,0,com.monthurs.solitaire.classic.card,2,15
114,0,auto.answering.air.call,11,1
115,0,auto.answering.air.call,1,11
116,0,photofashion.frame.videostoriesdownload,11,1
117,0,photofashion.frame.videostoriesdownload,1,11
118,1,photofashion.frame.videostoriesdownload,5,11
119,0,com.ruleoffun.mrbomb,11,1
120,0,com.ruleoffun.mrbomb,1,11
121,1,com.ruleoffun.mrbomb,6,11
122,0,de.twokit.castbrowser,11,1
123,0,de.twokit.castbrowser,1,11
124,1,de.twokit.castbrowser,4,11
125,1,de.twokit.castbrowser,5,11
126,1,de.twokit.castbrowser,18,11
127,0,com.bitrix24.android,2,15
128,0,com.bitrix24.android,15,2
129,7,com.bitrix24.android,100,15
130,0,com.roshi.logotexture.hdlogomaker,1,11
131,0,com.roshi.logotexture.hdlogomaker,11,1
132,3,com.andromo.dev494239.app579479,13,80
133,2,com.andromo.dev494239.app579479,13,56
134,3,com.andromo.dev494239.app579479,13,11
135,0,com.andromo.dev494239.app579479,56,18
136,0,com.andromo.dev494239.app579479,18,56
137,1,com.andromo.dev494239.app579479,18,11
138,2,com.andromo.dev162819.app330024,1,107
139,0,com.andromo.dev162819.app330024,16,107
140,2,com.andromo.dev162819.app330024,39,107
141,0,com.andromo.dev162819.app330024,107,16
142,0,com.iexamguru.nclex_practice_exams,2,15
143,2,com.iexamguru.nclex_practice_exams,21,56
144,4,com.iexamguru.nclex_practice_exams,31,15
145,1,com.iexamguru.nclex_practice_exams,23,15
146,2,com.iexamguru.nclex_practice_exams,1,56
147,1,com.iexamguru.nclex_practice_exams,25,15
148,1,com.iexamguru.nclex_practice_exams,60,15
149,1,com.iexamguru.nclex_practice_exams,61,15
150,0,com.iexamguru.nclex_practice_exams,15,2
151,3,com.devuni.flashlight,14,11
152,0,com.devuni.flashlight,11,1
153,0,com.devuni.flashlight,1,11
154,3,com.devuni.flashlight,10,11
155,0,com.magix.camera_mx,1,11
156,0,com.magix.camera_mx,11,1
157,1,com.magix.camera_mx,16,11
158,3,com.magix.camera_mx,14,11
159,1,com.magix.camera_mx,4,11
160,1,com.magix.camera_mx,5,11
161,9,com.fungames.battletanksbeta,26,8
162,9,com.fungames.battletanksbeta,87,8
163,3,com.babycenter.pregnancytracker,57,15
164,2,com.babycenter.pregnancytracker,9,15
165,1,com.babycenter.pregnancytracker,87,15
166,1,com.babycenter.pregnancytracker,25,15
167,1,com.babycenter.pregnancytracker,61,15
168,1,com.babycenter.pregnancytracker,85,15
169,0,com.babycenter.pregnancytracker,15,2
170,0,com.babycenter.pregnancytracker,2,15
171,7,com.babycenter.pregnancytracker,110,15
172,1,com.babycenter.pregnancytracker,26,15
173,0,com.cyworld.camera,2,15
174,0,com.cyworld.camera,15,2
175,0,com.auctionmobility.auctions.pundoles,2,15
176,0,com.auctionmobility.auctions.pundoles,15,2
177,0,com.busakonokay.lekoninjagoshadoow,18,56
178,0,com.busakonokay.lekoninjagoshadoow,56,18
179,0,com.awt.revolvers,11,1
180,0,com.awt.revolvers,1,11
181,3,com.andromo.dev377547.app516498,13,80
182,2,com.andromo.dev377547.app516498,13,56
183,3,com.andromo.dev377547.app516498,13,11
