id,sentenceId,policyId,appId
1,"We gather various types of Personal Information from our users, as explained in more detail below, and we use this Personal Information internally in connection with our Services, including to personalize, provide, and improve our services, to allow you to set up a user account and profile, to contact you and allow other users to contact you, to fulfill your requests for certain products and services, and to analyze how you use the Services.",1,com.agnitus.playfivelittlemonkeysbook
2,"In certain cases, we may also share some Personal Information with third parties, but only as described below.",1,com.agnitus.playfivelittlemonkeysbook
3,"In certain cases, we may also share some Personal Information with third parties, but only as described below.",2,com.agnitus.playfivelittlemonkeysbook
4,"If we learn that we have collected personal information from a child under age 13, we will delete that information as quickly as possible.",1,com.agnitus.playfivelittlemonkeysbook
5,"If you believe that a child under 13 may have provided us personal information, please contact us at support@agnitus.com.",1,com.agnitus.playfivelittlemonkeysbook
6,"Please note that if you've opted not to receive legal notice emails from us (or you haven't provided us with your email address), those legal notices will still govern your use of the Services, and you are still responsible for reading and understanding them.",3,com.agnitus.playfivelittlemonkeysbook
7,"For example, through the registration process and through your account settings, we may collect Personal Information such as your name, email address, and third-party account credentials (for example, your login credentials for Facebook or other third party sites).",4,com.agnitus.playfivelittlemonkeysbook
8,"For example, through the registration process and through your account settings, we may collect Personal Information such as your name, email address, and third-party account credentials (for example, your login credentials for Facebook or other third party sites).",5,com.agnitus.playfivelittlemonkeysbook
9,"For example, through the registration process and through your account settings, we may collect Personal Information such as your name, email address, and third-party account credentials (for example, your login credentials for Facebook or other third party sites).",1,com.agnitus.playfivelittlemonkeysbook
10,"For example, if you've given us your email address, we may send you promotional email offers on behalf of other businesses, or email you about your use of the Services.",4,com.agnitus.playfivelittlemonkeysbook
11,"When your Child uses Agnitus, we collect and use information such as Device IDs to identify and track the progress of your Child over time, but we will not use or share that information in a way such that your Child may be tracked across different sites, applications or services.",6,com.agnitus.playfivelittlemonkeysbook
12,We neither rent nor sell your Personal Information in personally identifiable form to anyone.,1,com.agnitus.playfivelittlemonkeysbook
13,"However, we may share your Personal Information with third parties as described in this section: Aggregated Personal Information that's no longer personally identifiable.",2,com.agnitus.playfivelittlemonkeysbook
14,"However, we may share your Personal Information with third parties as described in this section: Aggregated Personal Information that's no longer personally identifiable.",1,com.agnitus.playfivelittlemonkeysbook
15,"You can recognize when an affiliated business is associated with such a transaction or service, and we may share your Personal Information with that affiliated business only to the extent that it is related to such transaction or service.",1,com.agnitus.playfivelittlemonkeysbook
16,What Personal Information can I access?,1,com.agnitus.playfivelittlemonkeysbook
17,"We also collect non-personal data like de-identified and aggregated information data with our analytical partners (like Apple, Flurry, and Firebase).",7,co.touchlab.android.onesecondeveryday
18,We collect Personal Data about you that you provide to us or that we obtain while you are using our Services.,1,co.touchlab.android.onesecondeveryday
19,"We use Personal Data to provide you with our services, to build features that will make our services easier to use and available on our Sites, to contact you about our services, and to send advertisements, marketing material or other offers that we think might be of interest to you, to perform data analytics, or for other purposes permitted by law.",1,co.touchlab.android.onesecondeveryday
20,We do not use or share your Personal Data for third-party marketing.,8,co.touchlab.android.onesecondeveryday
21,You have control on how we use Personal Data for marketing our own products and services.,1,co.touchlab.android.onesecondeveryday
22,"We share your Personal Data with our affiliates, external service providers, third party vendors, and associates as necessary to perform transactions with you and manage our business.",1,co.touchlab.android.onesecondeveryday
