packageName,flowEntity,flowData,policyEntity,policyAction,policyData,policySentences,consistencyResult,entityVagueness,entityVaguenessRaw,dataVagueness,dataVaguenessRaw,contradictionNum,contradictoryEntity,contradictoryAction,contradictoryData,contradictionSentences
com.agnitus.playfivelittlemonkeysbook,unity,imei,third party,collect,pii,"In certain cases, we may also share some Personal Information with third parties, but only as described below.||However, we may share your Personal Information with third parties as described in this section: Aggregated Personal Information that's no longer personally identifiable.",vague,0.6666666666666666,2,0.5,2,,,,,
co.touchlab.android.onesecondeveryday,flurry,advertising identifier,third party,collect,pii,"We share your Personal Data with our affiliates, external service providers, third party vendors, and associates as necessary to perform transactions with you and manage our business.||We may share your personal data with the parties set out below for the purposes set out in the App User's Personal Data Usage Table and Website User's Personal Data Usage Table above.||We do not allow our third-party service providers to use your personal data for their own purposes and only permit them to process your personal data for specified purposes and in accordance with our instructions.",ambiguous,,,,,C1,third party,not_collect,pii,"Note that if you share your personal data on our Site or through our Services by making public postings or sharing content such as videos or journal entries, we cannot control what other users you share that data with will do with it and even after we delete our copies of it, it may still be viewable in cached or archived pages or as copies made by users.||However, please know we do not currently disclose personal information to third parties for their direct marketing purposes."
co.touchlab.android.onesecondeveryday,flurry,android id,third party,collect,pii,"We share your Personal Data with our affiliates, external service providers, third party vendors, and associates as necessary to perform transactions with you and manage our business.||We may share your personal data with the parties set out below for the purposes set out in the App User's Personal Data Usage Table and Website User's Personal Data Usage Table above.||We do not allow our third-party service providers to use your personal data for their own purposes and only permit them to process your personal data for specified purposes and in accordance with our instructions.",ambiguous,,,,,C1,third party,not_collect,pii,"Note that if you share your personal data on our Site or through our Services by making public postings or sharing content such as videos or journal entries, we cannot control what other users you share that data with will do with it and even after we delete our copies of it, it may still be viewable in cached or archived pages or as copies made by users.||However, please know we do not currently disclose personal information to third parties for their direct marketing purposes."
beard.editor.hairstyle,facebook,advertising identifier,,,,,omitted,,,,,,,,,
com.asmodeedigital.spotitduel,amplitude,advertising identifier,third party,collect,pii,"We may share your Personal Data with different types of recipients, especially with our Partners, in order to provide you with the Services internal recipients.",vague,0.6666666666666666,2,0.5,2,,,,,
com.asmodeedigital.spotitduel,unity,android id,third party,collect,pii,"We may share your Personal Data with different types of recipients, especially with our Partners, in order to provide you with the Services internal recipients.",vague,0.6666666666666666,2,0.5,2,,,,,
com.asmodeedigital.spotitduel,adjust,advertising identifier,third party,collect,pii,"We may share your Personal Data with different types of recipients, especially with our Partners, in order to provide you with the Services internal recipients.",vague,0.6666666666666666,2,0.5,2,,,,,
com.asmodeedigital.spotitduel,applifier,advertising identifier,third party,collect,pii,"We may share your Personal Data with different types of recipients, especially with our Partners, in order to provide you with the Services internal recipients.",vague,0.6666666666666666,2,0.5,2,,,,,
com.asmodeedigital.spotitduel,facebook,advertising identifier,third party,collect,pii,"We may share your Personal Data with different types of recipients, especially with our Partners, in order to provide you with the Services internal recipients.",vague,0.6666666666666666,2,0.5,2,,,,,
com.thetransitapp.droid,amplitude,geographical location,,,,,omitted,,,,,,,,,
com.thetransitapp.droid,amplitude,advertising identifier,,,,,omitted,,,,,,,,,
com.thetransitapp.droid,amplitude,android id,,,,,omitted,,,,,,,,,
com.thetransitapp.droid,facebook,advertising identifier,,,,,omitted,,,,,,,,,
com.thetransitapp.droid,crashlytics,advertising identifier,,,,,omitted,,,,,,,,,
com.thetransitapp.droid,crashlytics,android id,,,,,omitted,,,,,,,,,
app.horsevip.mcqcarligpuzz,startapp,router ssid,,,,,omitted,,,,,,,,,
app.horsevip.mcqcarligpuzz,startapp,mac address,,,,,omitted,,,,,,,,,
app.horsevip.mcqcarligpuzz,startapp,advertising identifier,,,,,omitted,,,,,,,,,
app.horsevip.mcqcarligpuzz,kochava,advertising identifier,,,,,omitted,,,,,,,,,
app.horsevip.mcqcarligpuzz,appsflyer,advertising identifier,,,,,omitted,,,,,,,,,
crc.carsapp.la,crashlytics,advertising identifier,,,,,omitted,,,,,,,,,
crc.carsapp.la,crashlytics,android id,,,,,omitted,,,,,,,,,
